R_fighter,B_fighter,R_odds,B_odds,R_ev,B_ev,date,location,country,Winner,title_bout,weight_class,gender,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,empty_arena,constant_1,B_match_weightclass_rank,R_match_weightclass_rank,R_Women's Flyweight_rank,R_Women's Featherweight_rank,R_Women's Strawweight_rank,R_Women's Bantamweight_rank,R_Heavyweight_rank,R_Light Heavyweight_rank,R_Middleweight_rank,R_Welterweight_rank,R_Lightweight_rank,R_Featherweight_rank,R_Bantamweight_rank,R_Flyweight_rank,R_Pound-for-Pound_rank,B_Women's Flyweight_rank,B_Women's Featherweight_rank,B_Women's Strawweight_rank,B_Women's Bantamweight_rank,B_Heavyweight_rank,B_Light Heavyweight_rank,B_Middleweight_rank,B_Welterweight_rank,B_Lightweight_rank,B_Featherweight_rank,B_Bantamweight_rank,B_Flyweight_rank,B_Pound-for-Pound_rank,better_rank,finish,finish_details,finish_round,finish_round_time,total_fight_time_secs,R_kd_bout,B_kd_bout,R_sig_str_landed_bout,B_sig_str_landed_bout,R_sig_str_attempted_bout,B_sig_str_attempted_bout,R_sig_str_pct_bout,B_sig_str_pct_bout,R_tot_str_landed_bout,B_tot_str_landed_bout,R_tot_str_attempted_bout,B_tot_str_attempted_bout,R_td_landed_bout,B_td_landed_bout,R_td_attempted_bout,B_td_attempted_bout,R_td_pct_bout,B_td_pct_bout,R_sub_attempts_bout,B_sub_attempts_bout,R_pass_bout,B_pass_bout,R_rev_bout,B_rev_bout
Anthony Smith,Devin Clark,-139,115,71.94244604,115,11/28/2020,"Las Vegas, Nevada, USA",USA,,FALSE,Light Heavyweight,MALE,5,0,2,0,3.4,0.57,0.1,2.76,0.36,2,4,24,0,0,0,6,0,0,0,6,Orthodox,182.88,190.5,205,2,0,0,2.97,0.46,0.7,0.41,0.25,3,8,45,1,0,0,1,6,3,0,10,Orthodox,193.04,193.04,205,32,30,-2,2,-1,-4,-4,-21,-1,-6,-3,-10.16,-2.54,-2,0.43,-0.6,2.35,1,1,,6,,,,,,6,,,,,,,,,,,,,,,,,,,,,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miguel Baeza,Takashi Sato,-175,140,57.14285714,140,11/28/2020,"Las Vegas, Nevada, USA",USA,,FALSE,Welterweight,MALE,3,0,1,0,3.94,0.41,0,0.79,0.5,1,1,6,0,0,0,0,2,0,0,2,Southpaw,177.8,185.42,170,0,3,0,4.78,0.56,1.1,0.54,0.33,3,0,7,0,0,0,1,2,0,0,3,Orthodox,187.96,187.96,170,28,30,0,-2,-2,-1,1,-1,0,0,0,-10.16,-2.54,2,-0.84,-1.1,0.25,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Parisian,Parker Porter,-200,160,50,160,11/28/2020,"Las Vegas, Nevada, USA",USA,,FALSE,Heavyweight,MALE,3,1,0,0,6.82,0.43,1.2,1.22,1,0,1,1,0,0,0,0,0,0,0,0,Orthodox,182.88,190.5,265,0,2,0,7.07,0.55,2.9,0,0,2,0,2,0,0,0,0,2,0,0,2,Orthodox,193.04,200.66,265,31,35,1,-2,-2,-2,1,-1,0,-2,0,-10.16,-10.16,4,-0.25,-1.7,1.22,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spike Carlyle,Bill Algeo,-177,140,56.49717514,140,11/28/2020,"Las Vegas, Nevada, USA",USA,,FALSE,Featherweight,MALE,3,2,0,0,7.87,0.53,0,0.5,0.33,0,2,6,0,0,0,0,0,0,0,0,Switch,182.88,185.42,145,1,0,0,3.47,0.6,0,2.74,0.5,1,1,4,0,0,0,0,1,0,0,1,Switch,172.72,180.34,145,27,31,1,0,-1,-1,1,2,0,-1,0,10.16,5.08,4,4.4,0,-2.24,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashlee Evans-Smith,Norma Dumont,-137,110,72.99270073,110,11/28/2020,"Las Vegas, Nevada, USA",USA,,FALSE,Women's Bantamweight,FEMALE,3,1,0,0,1.42,0.31,0,4.27,0.33,0,1,1,0,0,0,0,0,0,0,0,Orthodox,170.18,170.18,135,1,0,0,4.86,0.35,0,1.3,0.25,2,4,17,0,0,1,1,1,0,0,3,Orthodox,172.72,170.18,135,33,30,0,0,-2,-3,-3,-16,0,-1,0,-2.54,0,-3,-3.44,0,2.97,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonathan Pearce,Kai Kamaka,245,-335,245,29.85074627,11/28/2020,"Las Vegas, Nevada, USA",USA,,FALSE,Featherweight,MALE,3,0,1,0,7.6,0.61,0,5,1,1,0,3,0,0,0,1,0,0,0,1,Orthodox,170.18,175.26,145,1,0,0,11.21,0.57,0,4.48,0.5,1,1,4,0,0,0,0,1,0,0,1,Switch,182.88,180.34,145,28,25,-1,1,0,0,-1,-1,0,-1,0,-12.7,-5.08,-3,-3.61,0,0.52,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin Day,Anderson Dos Santos,-167,135,59.88023952,135,11/28/2020,"Las Vegas, Nevada, USA",USA,,FALSE,Bantamweight,MALE,3,2,0,0,2.7,0.26,0.5,1,0.2,0,2,6,0,0,0,0,0,0,0,0,Orthodox,165.1,177.8,135,3,0,0,5.39,0.45,0.7,0.7,0.5,0,3,9,0,0,0,0,0,0,0,0,Orthodox,177.8,185.42,135,32,35,-1,0,0,0,-1,-3,0,0,0,-12.7,-7.62,3,-2.69,-0.2,0.3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gina Mazany,Rachael Ostovich,-200,160,50,160,11/28/2020,"Las Vegas, Nevada, USA",USA,,FALSE,Women's Flyweight,FEMALE,3,2,0,0,2.32,0.43,1.3,3.28,1,1,2,6,0,0,0,0,0,1,0,1,Orthodox,160.02,157.48,125,3,0,0,2.75,0.49,0,3.14,0.7,1,4,9,0,0,0,1,0,0,0,1,Southpaw,167.64,172.72,125,32,29,-1,0,0,0,-2,-3,0,0,1,-7.62,-15.24,-3,-0.43,1.3,0.14,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Su Mudaerji,Malcolm Gordon,-335,250,29.85074627,250,11/28/2020,"Las Vegas, Nevada, USA",USA,,FALSE,Flyweight,MALE,3,1,0,0,0.64,0.18,0,0,0,0,1,1,0,0,0,0,0,0,0,0,Switch,170.18,180.34,125,0,1,0,5.02,0.59,1.4,0.68,1,1,1,5,0,0,0,1,0,0,0,1,Southpaw,172.72,182.88,125,24,30,1,-1,-1,-1,0,-4,0,0,0,-2.54,-2.54,6,-4.38,-1.4,-0.68,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luke Sanders,Nate Maness,-155,125,64.51612903,125,11/28/2020,"Las Vegas, Nevada, USA",USA,,FALSE,Catch Weight,MALE,3,0,1,0,1.4,0.42,0,1,1,1,0,3,0,0,0,1,0,0,0,1,Orthodox,177.8,182.88,135,0,1,0,6,0.51,0.4,0.37,0.25,2,3,12,0,0,0,1,2,1,0,4,Southpaw,167.64,170.18,135,34,29,0,0,-1,-3,-3,-9,0,-2,-1,10.16,12.7,-5,-4.6,-0.4,0.63,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
